No.,Career Name,Cluster,One-Line Summary,What They Do,Industries,Entry Salary (LPA),Mid Salary (LPA),Senior Salary (LPA),Top Earnings (LPA),Demand Level,Growth Rate,AI Impact,Core Skills,Key Certifications,Degree Required,Work-Life Balance,Stress Level,Entry Path,Who Should Choose,Who Should Avoid,Verdict,Money Score,Growth Score,Stability Score
88,Video Editor/Post-Production,Cluster 4,Edits video content for various media,"Video editing, color correction, effects, final delivery","Film, OTT, Advertising, Social media, Corporate",2-4,5-12,12-25+,50+,High,20%+,Medium,"Editing software, Storytelling, Technical skills, Creativity",Editing software certifications,Not mandatory but training helps,7/10,6/10,Editing courses → Portfolio → Studio/freelance,"Detail-oriented, patient, storytelling interest, technically inclined",Those wanting on-set work,Growing with content creation. Technical + creative.,6,8,6
89,2D/3D Animator,Cluster 4,Creates animation for various media,"Animation creation, character design, rigging, rendering","Animation studios, Gaming, Advertising, Film",2-5,6-15,15-35+,60+,High,20%+,Medium,"Animation software, Art skills, Movement understanding, Storytelling",Animation degree/diploma,Animation degree preferred but portfolio matters,7/10,6/10,Animation training → Portfolio → Studio,"Creative artists, patient, animation enthusiasts",Those wanting live-action work,Growing with animation demand. Creative + technical.,6,8,6
90,Visual Effects (VFX) Artist,Cluster 4,Creates visual effects for films/TV,"VFX creation, compositing, rotoscoping, CGI","VFX studios, Film industry, Advertising, Gaming",2-5,6-15,15-35+,60+,High,20%+,Medium,"VFX software, Art skills, Technical knowledge, Creativity","VFX certifications, Art background",VFX training or art degree,7/10,6/10,VFX training → Portfolio → Studio,"Creative technologists, detail-oriented, film + tech interest",Those wanting on-set work,Growing with VFX-heavy content. Creative + technical.,6,8,6
91,Motion Graphics Designer,Cluster 4,Creates animated graphics for media,"Motion graphics, title sequences, animated logos, explainer videos","Advertising, Media, Film, Corporate, Social media",3-5,6-15,15-30+,50+,High,20%+,Medium,"Motion graphics software, Design, Animation, Creativity",Motion graphics training,Design background preferred,7/10,5/10,Design background → Motion graphics training → Studio/freelance,"Creative designers, animation interest, advertising interest",Those wanting static design only,Growing with video content. Design + animation.,6,8,7
92,Documentary Filmmaker,Cluster 4,Creates documentary films,"Research, filming, editing, distribution, funding","Film industry, OTT, NGOs, Television, Independent",1-4,5-15,15-40+,50+,Medium,15%+,Low,"Documentary techniques, Research, Storytelling, Filming","Film school, documentary workshops",Not mandatory but training helps,6/10,6/10,Film training → Documentary projects → Festival/OTT,"Research-oriented, socially conscious, storytellers",Those wanting commercial filmmaking only,Niche but meaningful. Storytelling + research + social impact.,5,6,4
93,Colorist (Film & Video),Cluster 4,Adjusts color grading for films/videos,"Color grading, color correction, look development, final output","Post-production studios, Film industry, OTT",3-6,6-15,15-30+,50+,Medium,15%+,Low,"Color theory, Grading software, Visual aesthetics, Attention to detail","Colorist training, Color science knowledge",Not mandatory but specialized training needed,7/10,5/10,Post-production background → Colorist training → Studio,"Color-sensitive, detail-oriented, visual aesthetics interest",Those wanting creative storytelling roles,Niche specialization. Technical + aesthetic combination.,6,7,6
94,Storyboard Artist,Cluster 4,Creates visual storyboards for films/ads,"Storyboard creation, visual storytelling, scene planning","Film industry, Advertising, Animation, Gaming",2-5,5-12,12-25+,40+,Medium,15%+,Medium,"Drawing, Visual storytelling, Film understanding, Quick sketching","Art school, Animation background",Art/design background preferred,7/10,5/10,Art background → Storyboard practice → Industry,"Visual storytellers, quick artists, film interest",Those wanting finished art only,Growing with content creation. Drawing + storytelling.,5,7,5
95,Art Director (Film/OTT),Cluster 4,Manages visual design of film productions,"Set design oversight, visual concept, team management, budget management","Film industry, OTT, Advertising, Television",4-10,10-25,25-60+,1 Cr+,Medium,15%+,Low,"Art direction, Design, Management, Budget handling","Art/Design degree, Film experience",Art/Design degree + film experience,5/10,7/10,Art background → Film industry → Art department → AD,"Creative leaders, design + management, film interest",Those wanting hands-on art only,Senior creative role. Design + management + film.,8,7,5
96,Graphic Designer,Cluster 4,Creates visual designs for communication,"Logo design, branding, print design, digital design","Design agencies, Corporates, Startups, Freelance",2-4,5-10,12-25+,50+,High,15%+,Medium,"Adobe Creative Suite, Typography, Color theory, Design principles","Design degree, Adobe certifications",Design degree preferred but portfolio matters,7/10,6/10,Design course + portfolio → Agency/freelance,"Creative individuals, visual thinkers, problem-solvers",Those avoiding subjective feedback,Accessible creative career with freelance potential.,6,7,6
97,Illustrator/Digital Artist,Cluster 4,Creates illustrations for various media,"Illustration creation, digital art, character design, visual storytelling","Publishing, Advertising, Gaming, Film, Freelance",2-4,5-12,12-25+,50+,Medium,15%+,Medium,"Drawing, Digital tools, Style development, Creativity","Art school, Illustration courses",Art background preferred but portfolio matters,8/10,5/10,Art training → Portfolio → Publishing/agency/freelance,"Artistic individuals, visual storytellers, patient",Those wanting stable salary,Creative career with freelance focus. Art + commercial applications.,5,7,5
98,Brand Identity Designer,Cluster 4,Creates visual brand identities,"Logo design, brand guidelines, visual systems, strategy","Design agencies, Corporates, Startups, Freelance",3-6,7-15,15-35+,60+,High,15%+,Medium,"Branding, Design systems, Strategy, Presentation skills","Design degree, Branding courses",Design degree + branding experience,7/10,5/10,Graphic design → Brand specialization → Agency/freelance,"Strategic designers, brand interest, presentation skills",Those wanting only execution work,Growing with brand consciousness. Design + strategy.,7,7,6
99,Typographer/Lettering Artist,Cluster 4,Designs typefaces and lettering,"Typeface design, lettering, custom fonts, typography","Type foundries, Design agencies, Freelance",3-6,6-15,15-30+,50+,Medium,10%+,Medium,"Typography, Drawing, Font software, Design principles","Type design courses, Art background",Design/art background + type design training,8/10,4/10,Design background → Type design specialization → Foundry/freelance,"Detail-oriented, font enthusiasts, patient designers",Those wanting varied design work,Niche specialization. Detail-oriented design career.,5,6,5
100,Packaging Designer,Cluster 4,Designs product packaging,"Packaging design, structural design, graphics, production knowledge","Design agencies, FMCG, Manufacturing, Retail",3-6,6-15,15-30+,50+,High,12%+,Low,"Packaging design, 3D understanding, Production knowledge, Graphics",Packaging design degree/courses,Design degree + packaging specialization,7/10,5/10,Design background → Packaging specialization → Agency/company,"3D thinkers, product interest, production knowledge seekers",Those wanting purely 2D design,Growing with retail and e-commerce. Design + engineering.,6,7,7
101,Fashion Designer,Cluster 4,Designs clothing and accessories,"Fashion design, sketching, fabric selection, production oversight","Fashion houses, Retail brands, Export houses, Freelance",2-5,5-15,15-40+,1 Cr+,Medium,12%+,Medium,"Fashion design, Sketching, Fabric knowledge, Trend awareness","Fashion design degree, NIFT/NID",Fashion design degree preferred,6/10,7/10,Fashion design degree → Internship → Designer/brand,"Creative individuals, fashion interest, trend-aware",Those wanting stable corporate work,Competitive creative field. Design + business + trends.,6,6,4
102,Textile Designer,Cluster 4,Designs fabrics and textile patterns,"Textile design, pattern creation, fabric development, production","Textile mills, Fashion brands, Export houses, Freelance",2-5,5-12,12-25+,45+,Medium,10%+,Low,"Textile design, Pattern creation, Fabric knowledge, CAD",Textile design degree,Textile design degree preferred,7/10,5/10,Textile design degree → Mill/brand → Designer,"Pattern lovers, fabric interest, production-oriented",Those wanting fashion design only,Specialized design field. Growing with textile industry.,5,6,6
103,Jewellery Designer,Cluster 4,Designs jewelry and accessories,"Jewelry design, sketching, CAD, production oversight","Jewelry brands, Retail, Export houses, Freelance",2-5,5-15,15-35+,60+,Medium,12%+,Low,"Jewelry design, CAD, Gemstone knowledge, Manufacturing",Jewelry design degree/diploma,Jewelry design training preferred,7/10,5/10,Jewelry design training → Brand/workshop → Designer,"Detail-oriented, luxury interest, craft enthusiasts",Those wanting mass production work,Growing luxury market. Design + craft + business.,6,6,5
104,Industrial/Product Designer,Cluster 4,Designs physical products,"Product design, prototyping, manufacturing liaison, user research","Manufacturing, Design consultancies, Tech companies, Startups",4-8,8-18,18-40+,70+,High,15%+,Low,"Product design, CAD, Prototyping, Manufacturing knowledge","Product design degree (NID, IIT)",B.Des/M.Des Product Design preferred,7/10,6/10,Design degree → Product design → Consultancy/company,"3D thinkers, product interest, engineering + design blend",Those wanting purely visual design,Growing with product innovation. Design + engineering.,7,8,6
105,Music Producer,Cluster 4,Creates and produces music recordings,"Music production, recording, mixing, artist collaboration","Music industry, Film, Advertising, Independent",2-5,5-15,15-40+,1 Cr+,Medium,15%+,Medium,"Music production, DAW software, Sound engineering, Creativity",Music production courses,Not mandatory but training helps,6/10,7/10,Music training → Production courses → Studio/independent,"Musically inclined, technically creative, patient",Those wanting performance career only,Growing with independent music. Creativity + technology.,6,7,4
106,Sound Engineer/Audio Engineer,Cluster 4,Records and manipulates sound,"Sound recording, mixing, mastering, live sound","Recording studios, Film, Live events, Broadcasting",2-4,5-12,12-25+,45+,High,12%+,Medium,"Audio engineering, DAW software, Equipment, Acoustics",Sound engineering diploma/degree,Sound engineering training preferred,7/10,6/10,Sound engineering training → Studio/live → Engineer,"Audio enthusiasts, technically inclined, music interest",Those wanting creative only work,Technical + creative combination. Growing with content creation.,5,7,6
107,Film/Game Composer,Cluster 4,Creates music for films and games,"Music composition, scoring, orchestration, recording","Film industry, Gaming, Advertising, Television",2-5,5-15,15-40+,1 Cr+,Medium,15%+,Low,"Music composition, Orchestration, DAW, Film/game understanding",Music composition degree,Music background + composition training,7/10,6/10,Music training → Composition → Film/game industry,"Musically creative, film/game interest, collaboration skills",Those wanting performance career only,Niche creative field. Music + storytelling + collaboration.,6,7,4
108,Podcast Producer,Cluster 4,Creates and manages podcasts,"Podcast production, editing, hosting, distribution, marketing","Media companies, Brands, Independent",2-4,4-10,10-25+,40+,High,30%+,Medium,"Audio production, Content creation, Editing, Marketing",Podcast production courses,Not mandatory but audio skills needed,8/10,5/10,Audio/content background → Podcast production → Media/brand,"Content creators, audio interest, storytelling skills",Those wanting video work only,Growing rapidly with podcast boom. Content + audio.,5,9,5
109,Voice Actor/Dubbing Artist,Cluster 4,Provides voice for various media,"Voice recording, dubbing, character voices, narration","Film dubbing, Animation, Advertising, Audiobooks",1-3,3-8,8-20+,40+,Medium,15%+,Medium,"Voice acting, Character voices, Language skills, Recording",Voice acting training,Not mandatory but training helps,8/10,4/10,Voice training → Demo reel → Studios/agencies,"Voice-talented, language skills, character actors",Those wanting on-camera work only,Growing with dubbing and audio content. Performance + voice.,4,8,5
110,Music Therapist,Cluster 4,Uses music for therapeutic purposes,"Music therapy sessions, patient assessment, treatment planning","Hospitals, Rehabilitation centers, Schools, Private practice",2-5,5-12,12-25+,40+,Medium-High,15%+,,"Music skills, Therapy techniques, Psychology, Patient care",Music therapy certification/degree,Music therapy degree/certification,7/10,5/10,Music background → Music therapy training → Hospital/practice,"Music + therapy interest, patient, empathetic",Those wanting performance career only,Growing with alternative therapy. Music + healthcare.,5,7,6
111,Acoustic Consultant,Cluster 4,Advises on sound and vibration control,"Acoustic analysis, noise control, architectural acoustics","Architecture, Construction, Entertainment venues, Manufacturing",4-8,8-18,18-40+,70+,Medium,12%+,Low,"Acoustics, Physics, Engineering, Measurement",Acoustics engineering degree/certification,Engineering/Physics background + acoustics specialization,8/10,4/10,Engineering/physics → Acoustics specialization → Consultancy,"Physics/engineering interest, audio enthusiasts, analytical",Those wanting creative work only,Niche engineering field. Physics + engineering + audio.,7,6,7
112,Content Strategist,Cluster 4,Plans content strategy for brands,"Content planning, strategy development, editorial calendars, analytics","Media companies, Brands, Agencies, Startups",4-8,8-18,18-35+,60+,High,20%+,Medium,"Content planning, Strategy, Analytics, Communication",Content marketing certifications,Marketing/Communications background,7/10,5/10,Marketing/writing background → Content strategy → Brand/agency,"Strategic thinkers, content interest, analytical",Those wanting execution only work,Growing with content marketing. Strategy + content + analytics.,7,8,7
113,UX Writer/Copywriter,Cluster 4,Writes for digital products and marketing,"UX writing, copywriting, content creation, brand voice","Tech companies, Agencies, Startups, Freelance",3-6,6-15,15-30+,50+,High,20%+,Medium,"Writing, UX understanding, Creativity, Communication","UX writing courses, Copywriting training",Writing/Communications background,8/10,5/10,Writing background → UX/copy training → Tech company/agency,"Writers, UX interest, creative communicators",Those wanting journalism only,Growing with digital products. Writing + UX + marketing.,6,8,7
114,Screenwriter (Film/OTT/Ad),Cluster 4,Writes scripts for visual media,"Script writing, story development, dialogue writing, pitching","Film industry, OTT, Advertising, Television",1-3,3-10,10-30+,1 Cr+,Medium,15%+,Medium,"Storytelling, Screenplay format, Dialogue, Structure",Screenwriting courses,Not mandatory but training helps,7/10,6/10,Writing practice → Screenwriting course → Scripts → Industry,"Storytellers, writers, film interest, patient",Those wanting stable income immediately,Competitive creative field. Storytelling + craft + persistence.,5,7,3
115,Technical Writer,Cluster 4,Writes technical documentation,"Technical documentation, user manuals, API docs, knowledge base","Tech companies, Software, Manufacturing, Healthcare IT",3-6,6-15,15-30+,50+,High,15%+,Medium,"Technical writing, Subject understanding, Tools, Clarity",Technical writing certification,Technical background + writing skills,8/10,4/10,Technical background → Writing skills → Tech company,"Detail-oriented, technically inclined, clear writers",Those wanting creative writing only,Growing with tech industry. Technical + writing combination.,6,7,8
116,Social Media Strategist,Cluster 4,Plans social media strategy for brands,"Social media strategy, content planning, analytics, community management","Brands, Agencies, Media companies, Startups",3-6,6-15,15-30+,50+,High,20%+,Medium,"Social media platforms, Content strategy, Analytics, Creativity",Social media certifications,Marketing/Communications background,7/10,5/10,Marketing background → Social media → Agency/brand,"Social media savvy, creative, analytical, trend-aware",Those wanting traditional marketing only,Growing with digital marketing. Strategy + content + analytics.,6,8,6
117,YouTuber/Video Creator,Cluster 4,Creates video content for YouTube,"Video creation, editing, audience building, monetization","YouTube, Brands, Independent",0-2,2-15,15-50+,Unlimited,Medium-High,25%+,Medium,"Video creation, Editing, Storytelling, Audience engagement",Video production courses,Not required but skills needed,Variable,6/10,Content creation → Consistency → Monetization → Scale,"Content creators, self-promoters, consistent, entertaining","Those wanting stable salary, avoiding public attention",High potential but requires consistency and audience building.,7,7,2
118,Podcast Host,Cluster 4,Hosts and produces podcasts,"Hosting, content creation, interviewing, audience building","Media companies, Brands, Independent",0-2,2-10,10-30+,Unlimited,Medium-High,30%+,Low,"Communication, Interviewing, Content creation, Audio basics",Broadcast training helpful,Not required but communication skills essential,Variable,5/10,Content creation → Podcast launch → Consistency → Audience,"Communicators, interviewers, subject experts, engaging personalities",Those avoiding public speaking,Growing with podcast boom. Content + communication.,5,8,3
119,Newsletter Founder/Independent Media,Cluster 4,Creates independent newsletter/media,"Content creation, curation, audience building, monetization","Independent, Substack, Brands",0-1,1-5,5-20+,Unlimited,Medium,25%+,Medium,"Writing, Curation, Audience building, Marketing","Writing skills, Subject expertise",Not required but expertise needed,Variable,5/10,Expertise + writing → Newsletter launch → Audience → Monetize,"Subject experts, writers, independent-minded, patient",Those wanting immediate income,Growing with creator economy. Expertise + writing + audience.,5,7,2
120,Influencer Marketing Manager,Cluster 4,Manages influencer campaigns for brands,"Influencer identification, campaign management, analytics, relationships","Brands, Agencies, Platforms",4-8,8-18,18-35+,60+,High,25%+,Medium,"Influencer knowledge, Campaign management, Analytics, Communication",Marketing certifications,Marketing background + digital knowledge,7/10,5/10,Marketing background → Influencer marketing → Agency/brand,"Social media savvy, relationship builders, campaign managers",Those wanting traditional marketing only,Growing with influencer marketing. Marketing + relationships + digital.,7,8,6
121,Actor (Film/OTT/Theatre),Cluster 4,Performs in visual and performing arts,"Acting, rehearsals, performance, character development","Film, OTT, Theatre, Advertising, Television",0-2,2-10,10-50+,Unlimited,Medium,15%+,Medium,"Acting, Performance, Voice, Expression, Improvisation","Acting school, Theatre training",Not mandatory but training helps,Variable,7/10,Acting training → Auditions → Theatre → Film/OTT,"Performers, expressive, patient, resilient to rejection","Those wanting stable income, avoiding public attention",Highly competitive. Performance + resilience + luck.,5,6,2
122,Stand-up Comedian,Cluster 4,Performs comedy for live audiences,"Comedy writing, performances, touring, content creation","Comedy clubs, OTT, Live events, YouTube",0-1,1-5,5-20+,Unlimited,Medium,20%+,Low,"Comedy writing, Performance, Timing, Audience engagement","Comedy workshops, Open mics",Not required but practice essential,Variable,6/10,Comedy writing → Open mics → Shows → OTT/YouTube,"Funny, creative, resilient to bombing, performance-oriented","Those sensitive to criticism, avoiding stage",Growing with comedy scene. Performance + writing + resilience.,4,7,2
123,Theatre Director,Cluster 4,Directs theatrical productions,"Play selection, casting, rehearsals, production management","Theatre companies, Schools, Independent productions",1-3,3-8,8-20+,40+,Low,10%+,Low,"Directing, Play understanding, Leadership, Production","Theatre training, Directing courses",Theatre background + directing experience,6/10,6/10,Theatre background → Assistant director → Director,"Theatre enthusiasts, leaders, storytelling + stage interest",Those wanting film directing only,Niche creative field. Leadership + theatre + storytelling.,4,5,3
124,Choreographer,Cluster 4,Creates dance sequences for performances,"Dance choreography, teaching, rehearsals, performance direction","Film, Television, Stage, Dance companies, Events",2-5,5-15,15-40+,1 Cr+,Medium,12%+,Low,"Dance, Choreography, Teaching, Music understanding","Dance training, Choreography courses",Dance background + choreography experience,6/10,7/10,Dance training → Assistant choreographer → Choreographer,"Dancers, creative, teaching ability, film/stage interest",Those wanting performance career only,Growing with entertainment. Dance + creativity + teaching.,6,6,4
125,Wildlife Photographer,Cluster 4,Photographs wildlife and nature,"Wildlife photography, travel, field work, editing, publishing","Publications, NGOs, Tourism, Fine art, Stock",1-3,3-8,8-20+,50+,Low,10%+,Medium,"Photography, Wildlife knowledge, Patience, Equipment","Photography courses, Field experience",Not required but photography skills essential,Variable,5/10,Photography skills → Wildlife interest → Portfolio → Publications,"Nature lovers, patient, travel-inclined, photography passion",Those wanting urban studio work,Niche creative field. Photography + wildlife + travel.,4,5,3
126,Chartered Accountant (CA),Cluster 5,"Handles accounting, auditing, taxation","Auditing, tax planning, financial reporting, consulting","CA firms, Corporations, Banks, Government, Practice",7-10,12-25,30-60+,1 Cr+,Very High,15%+,Medium,"Accounting, Taxation, Auditing, Financial analysis",ICAI membership,CA from ICAI (no degree required),5/10,7/10,After 12th: CPT → IPCC → Articleship → Final,"Number-oriented, systematic, ethical, detail-focused","Those wanting creative work, avoiding exams",Excellent professional qualification. Tough exam but rewarding.,8,7,9
127,Investment Banker,Cluster 5,"Advises on M&As, IPOs, capital raising","Financial modeling, pitch decks, due diligence, deal execution","Investment banks, Boutique advisory firms",10-15,25-50,75-150+,2 Cr+,Medium-High,10-15%,Medium,"Financial modeling, Valuation, Excel, Communication","CFA helpful, MBA from top institute",MBA from top institute or CA/CFA,3/10,9/10,Top MBA → Summer internship → IB Analyst,"Ambitious, stress-resilient, finance enthusiasts",Those wanting work-life balance,High-paying but demanding. 80-100 hour weeks common.,10,8,6
128,Financial Analyst,Cluster 5,Analyzes financial data for decisions,"Financial analysis, modeling, reporting, forecasting","Corporates, Banks, Investment firms, Consulting",4-8,8-18,18-40+,70+,High,15%+,Medium,"Financial analysis, Excel, Modeling, Accounting","CFA, FMVA certifications",B.Com/BBA + CFA/MBA preferred,7/10,6/10,Finance degree → Financial analysis → CFA → Senior roles,"Analytical minds, finance interest, Excel proficient",Those wanting creative work,Solid finance career. Analysis + modeling + growth.,7,7,8
129,Portfolio/Fund Manager,Cluster 5,Manages investment portfolios,"Portfolio management, stock selection, strategy, research","Mutual funds, Hedge funds, Insurance, PMS",8-15,20-50,50-150+,2 Cr+,Medium,15%+,Medium,"Investment analysis, Portfolio theory, Risk management, Research","CFA, MBA Finance",CFA + experience in investment research,6/10,7/10,Research analyst → Portfolio management → Fund manager,"Investment enthusiasts, research-oriented, risk-aware",Those wanting stable predictable work,Senior investment role. Research + strategy + performance.,9,7,7
130,Venture Capital Analyst,Cluster 5,Analyzes startup investments,"Deal sourcing, due diligence, portfolio support, research","VC firms, Startup funds, Family offices",8-15,15-35,35-80+,1 Cr+,High,20%+,Medium,"Investment analysis, Startup ecosystem, Networking, Research",MBA from top institutes,MBA + startup/consulting/investment experience,6/10,7/10,Consulting/tech/I-banking → VC analyst → Partner track,"Startup enthusiasts, analytical, network builders",Those wanting stable corporate roles,Growing with startup ecosystem. Investment + startups + networking.,8,8,5
131,Private Equity Analyst,Cluster 5,Analyzes private company investments,"Deal sourcing, due diligence, portfolio management, exits","PE firms, Investment arms, Family offices",10-18,20-45,45-100+,2 Cr+,Medium,15%+,Medium,"Investment analysis, Due diligence, Operations understanding","MBA, CFA",MBA + investment banking/consulting experience,5/10,8/10,I-banking/consulting → PE analyst → Principal track,"Investment professionals, operational interest, deal-makers",Those wanting liquid markets work,Senior investment role. Deals + operations + exits.,9,7,6
132,Actuary,Cluster 5,Analyzes financial risk using mathematics,"Risk modeling, pricing, valuation, product development","Insurance, Consulting, Pension funds, Government",6-10,15-35,35-80+,1 Cr+,High,12%+,Low,"Mathematics, Statistics, Risk modeling, Insurance knowledge",Actuarial exams (IAI/IFoA),Graduate + Actuarial exams (4-7 years),7/10,5/10,Math/stats degree → Actuarial exams → Insurance company,"Mathematically strong, patient, detail-oriented",Those wanting quick qualification,Specialized profession. Mathematics + risk + insurance.,8,7,9
133,Risk Manager,Cluster 5,Manages financial and operational risks,"Risk assessment, mitigation strategies, compliance, reporting","Banks, Financial institutions, Corporates, Consulting",6-12,12-25,25-50+,80+,High,15%+,Medium,"Risk analysis, Regulations, Quantitative skills, Communication","FRM, PRM certifications",Finance background + risk certifications,7/10,6/10,Finance/risk background → FRM → Risk department,"Risk-aware, analytical, regulatory interest",Those wanting revenue-generating roles,Growing with regulations. Analysis + compliance + strategy.,7,7,8
134,Compliance Officer,Cluster 5,Ensures regulatory compliance,"Compliance monitoring, policy development, audits, reporting","Banks, Financial services, Corporates, Consulting",5-10,10-20,20-40+,60+,High,15%+,Low,"Regulations, Policy development, Auditing, Communication",Compliance certifications,Legal/finance background + compliance training,8/10,5/10,Legal/finance background → Compliance training → Corporate role,"Detail-oriented, regulatory interest, ethical",Those wanting revenue-generating roles,Growing with regulations. Regulatory knowledge + policy.,6,7,9
135,Forensic Accountant,Cluster 5,Investigates financial fraud,"Fraud investigation, financial analysis, evidence collection, reporting","CA firms, Investigation agencies, Corporates, Government",5-10,10-25,25-50+,70+,Medium-High,15%+,Low,"Accounting, Investigation, Legal knowledge, Analysis",CA + forensic accounting certification,CA + forensic accounting specialization,7/10,6/10,CA/Accounting background → Forensic certification → Firm/agency,"Investigative minds, accounting background, detail-oriented",Those wanting routine accounting work,Growing with fraud awareness. Accounting + investigation.,7,7,8
136,Financial Planner/Wealth Manager,Cluster 5,Plans personal finances for clients,"Financial planning, investment advisory, tax planning, estate planning","Banks, Wealth management firms, Independent practice",4-8,8-20,20-50+,80+,High,15%+,Medium,"Financial planning, Investments, Tax, Communication",CFP certification,Finance background + CFP,7/10,5/10,Finance background → CFP → Wealth management firm/practice,"Client-focused, financial knowledge, advisory skills",Those wanting institutional finance,Growing with wealth in India. Advisory + relationship + finance.,7,7,7
137,Fintech Entrepreneur/Product Builder,Cluster 5,Builds fintech products and companies,"Product development, fundraising, team building, operations","Startups, Venture-backed companies",Variable,Variable,Variable,Unlimited,High,30%+,Medium,"Fintech knowledge, Product thinking, Entrepreneurship, Fundraising",Startup experience,Tech/finance background + entrepreneurship,Variable,8/10,Finance/tech background → Startup idea → Build → Scale,"Entrepreneurs, fintech enthusiasts, risk-takers",Those wanting stable salary,"High-risk, high-reward. Innovation + finance + entrepreneurship.",7,9,3
138,Credit Analyst,Cluster 5,Analyzes creditworthiness,"Credit analysis, risk assessment, financial modeling, reporting","Banks, NBFCs, Rating agencies, Corporates",4-8,8-15,15-30+,50+,High,12%+,Medium,"Credit analysis, Financial modeling, Risk assessment",Credit analysis certifications,Finance background + credit analysis training,8/10,5/10,Finance degree → Bank/NBFC training → Credit analyst,"Analytical minds, risk assessment interest, detail-oriented",Those wanting front-office roles,Core banking function. Analysis + risk + decision-making.,6,6,8
139,Algorithmic/Quantitative Trader,Cluster 5,Trades using algorithms and quantitative methods,"Algorithm development, trading, backtesting, research","Trading firms, Hedge funds, Banks, Prop trading",10-20,25-60,60-150+,3 Cr+,Medium,15%+,Medium,"Programming, Mathematics, Trading, Statistics","CFA, Programming skills, Math background",M.Tech/PhD + programming + finance knowledge,6/10,8/10,Math/CS background → Quant roles → Trading firms,"Mathematically strong, programmers, trading interest",Those wanting fundamental analysis work,High-paying niche. Mathematics + programming + trading.,9,7,5
140,Behavioural Economist,Cluster 5,Studies economic behavior and decisions,"Research, behavioral analysis, policy development, consulting","Research institutions, Government, Consulting, Tech",6-12,12-25,25-50+,80+,Medium,15%+,Low,"Economics, Psychology, Research methods, Statistics",PhD Behavioral Economics,PhD Economics/Psychology,8/10,5/10,Economics background → PhD Behavioral Economics → Research/consulting,"Research-oriented, psychology + economics interest, academic",Those wanting corporate finance work,Academic + applied field. Economics + psychology + research.,6,6,6
141,Impact Investor,Cluster 5,Invests for social and financial returns,"Deal sourcing, due diligence, impact measurement, portfolio management","Impact funds, Development finance, Family offices",10-20,20-50,50-100+,2 Cr+,Medium-High,20%+,Low,"Investment analysis, Impact measurement, Development knowledge","MBA, Impact investing courses",Investment background + impact focus,6/10,6/10,Investment background → Impact focus → Impact fund,"Impact-oriented investors, development interest, deal-makers",Those wanting pure profit focus,Growing with ESG focus. Investment + impact + development.,8,8,5
142,Microfinance Specialist,Cluster 5,Works in microfinance and financial inclusion,"Microfinance operations, credit assessment, product development","MFIs, Banks, NBFCs, NGOs, Government",3-6,6-15,15-30+,50+,Medium,15%+,Low,"Microfinance, Rural finance, Operations, Development",Microfinance certifications,Finance/Social work background + microfinance training,7/10,5/10,Finance/development background → MFI → Operations/management,"Development-oriented, rural interest, finance + social impact",Those wanting urban corporate finance,Development finance. Finance + social impact + operations.,5,7,7
143,Management Consultant,Cluster 5,Advises organizations on strategy and operations,"Strategy consulting, problem solving, analysis, presentations","Consulting firms, Corporates, Independent",10-20,20-45,45-100+,2 Cr+,High,12%+,Medium,"Problem solving, Analysis, Communication, Strategy",MBA from top institute,MBA from top B-school preferred,5/10,8/10,Top MBA → Consulting firm → Partner track,"Problem solvers, analytically strong, communicators",Those wanting operational roles,Prestigious career. Strategy + analysis + client work.,9,7,6
144,Strategy Consultant,Cluster 5,Advises on strategic decisions,"Strategy development, market analysis, competitive analysis","Consulting firms, Corporates, Independent",12-25,25-55,55-120+,2 Cr+,High,12%+,Medium,"Strategy, Analysis, Industry knowledge, Communication",MBA from top institute,MBA + industry experience,6/10,7/10,Consulting/industry experience → Strategy consulting → Senior roles,"Strategic thinkers, industry experts, communicators",Those wanting implementation roles,Senior consulting role. Strategy + industry + advisory.,9,7,6
145,Business Development Manager,Cluster 5,Develops business opportunities,"Lead generation, partnerships, sales strategy, relationship management","All industries, Tech, Manufacturing, Services",5-10,10-25,25-50+,80+,High,15%+,Low,"Sales, Networking, Strategy, Communication",MBA preferred,Business/sales background,6/10,6/10,Sales/business background → BD roles → Senior BD → Director,"Relationship builders, sales-oriented, strategic thinkers",Those wanting back-office roles,Growth-oriented role. Sales + strategy + relationships.,7,7,6
146,Supply Chain Manager,Cluster 5,Manages supply chain operations,"Supply chain planning, logistics, procurement, optimization","Manufacturing, Retail, E-commerce, Logistics companies",6-12,12-25,25-50+,80+,High,15%+,Low,"Supply chain, Logistics, Operations, Analytics",Supply chain certifications (APICS),Engineering/MBA + supply chain experience,6/10,6/10,Operations/logistics background → Supply chain roles → Manager,"Operations-minded, analytical, coordination skills",Those wanting creative or sales roles,Growing with e-commerce and manufacturing. Operations + logistics + planning.,7,8,8
147,Logistics & Last-Mile Delivery Manager,Cluster 5,Manages delivery operations,"Delivery planning, route optimization, team management, cost control","E-commerce, Logistics companies, Food delivery, Retail",4-8,8-18,18-35+,60+,High,20%+,Low,"Logistics, Operations, Team management, Technology",Logistics certifications,Operations/logistics background,6/10,7/10,Operations background → Logistics roles → Manager,"Operations-minded, ground-level experience, coordination skills",Those wanting desk-only work,Growing with e-commerce. Operations + logistics + ground management.,6,8,7
